time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.data.data
2022/10/25/13:50:25.008461,1,1666727425,3074558,,-243.64613342285156
2022/10/25/13:50:25.205936,2,1666727425,202074558,,-244.745849609375
2022/10/25/13:50:25.405765,3,1666727425,401074558,,-245.11241149902344
2022/10/25/13:50:25.607584,4,1666727425,601074558,,-165.81134033203125
2022/10/25/13:50:25.803151,5,1666727425,800074558,,-168.43841552734375
2022/10/25/13:50:26.003880,6,1666727425,999074558,,-167.7052764892578
2022/10/25/13:50:26.204561,7,1666727426,199074558,,-245.96774291992188
2022/10/25/13:50:26.401222,8,1666727426,398074558,,-245.72335815429688
2022/10/25/13:50:26.605962,9,1666727426,600074558,,-245.29568481445312
2022/10/25/13:50:26.806500,10,1666727426,799843082,,-170.94329833984375
2022/10/25/13:50:27.003185,11,1666727426,998843082,,-245.72335815429688
2022/10/25/13:50:27.203957,12,1666727427,198843082,,-151.88172912597656
2022/10/25/13:50:27.404555,13,1666727427,397843082,,-245.54006958007812
2022/10/25/13:50:27.601344,14,1666727427,597843082,,-154.93646240234375
2022/10/25/13:50:27.801948,15,1666727427,796843082,,-181.94036865234375
2022/10/25/13:50:28.002536,16,1666727427,995843082,,-187.31671142578125
2022/10/25/13:50:28.199334,17,1666727428,195843082,,-149.9266815185547
2022/10/25/13:50:28.400037,18,1666727428,395843082,,-149.31573486328125
2022/10/25/13:50:28.600724,19,1666727428,593843082,,-163.61192321777344
2022/10/25/13:50:28.797336,20,1666727428,793843082,,-156.7082061767578
2022/10/25/13:50:28.911974,21,1666727428,908843082,,-155.42523193359375
2022/10/25/13:50:29.116805,22,1666727429,110843082,,-153.77566528320312
2022/10/25/13:50:29.317645,23,1666727429,310505876,,-163.6119384765625
2022/10/25/13:50:29.514110,24,1666727429,509505876,,-129.52101135253906
2022/10/25/13:50:29.714789,25,1666727429,708505876,,-244.4403533935547
2022/10/25/13:50:29.915767,26,1666727429,908505876,,-243.27957153320312
2022/10/25/13:50:30.112438,27,1666727430,107505876,,-172.59286499023438
2022/10/25/13:50:30.313501,28,1666727430,306505876,,-141.1901397705078
2022/10/25/13:50:30.460171,29,1666727430,455505876,,-240.28591918945312
2022/10/25/13:50:30.660956,30,1666727430,655505876,,-153.77566528320312
2022/10/25/13:50:30.862241,31,1666727430,854505876,,-244.92913818359375
2022/10/25/13:50:31.005214,32,1666727430,854505876,,-244.92913818359375
2022/10/25/13:50:31.010962,33,1666727430,854505876,,-244.92913818359375
2022/10/25/13:50:31.031788,34,1666727431,24505876,,-163.734130859375
2022/10/25/13:50:31.230339,35,1666727431,224505876,,-243.5850372314453
2022/10/25/13:50:31.430904,36,1666727431,423505876,,-175.09774780273438
2022/10/25/13:50:31.631777,37,1666727431,625505876,,-167.33872985839844
2022/10/25/13:50:31.787462,38,1666727431,782904233,,-147.72726440429688
2022/10/25/13:50:31.984032,39,1666727431,982904233,,-166.91104125976562
